timestamp,timestamp_nsec,satellites_visible,satellites_used,status
1754911236.2889352,1754911236288935153,22,22,18
1754911236.3086295,1754911236308629620,22,22,18
1754911236.328297,1754911236328296808,22,22,18
1754911236.3482566,1754911236348256469,22,22,18
1754911236.368369,1754911236368369154,22,22,18
1754911236.3899884,1754911236389988404,22,22,18
1754911236.4087527,1754911236408752720,22,22,18
1754911236.428527,1754911236428527088,22,22,18
1754911236.4484315,1754911236448431473,22,22,18
1754911236.4684594,1754911236468459265,22,22,18
1754911236.4902742,1754911236490274090,22,22,18
1754911236.508522,1754911236508521969,22,22,18
1754911236.5282805,1754911236528280539,22,22,18
1754911236.548466,1754911236548465931,22,22,18
1754911236.5686653,1754911236568665246,22,22,18
1754911236.5898724,1754911236589872368,22,22,18
1754911236.608777,1754911236608776986,22,22,18
1754911236.6282907,1754911236628290708,22,22,18
1754911236.6484034,1754911236648403365,22,22,18
1754911236.668437,1754911236668436953,22,22,18
1754911236.690029,1754911236690029013,22,22,18
1754911236.7088919,1754911236708891892,22,22,18
1754911236.7286568,1754911236728656726,22,22,18
1754911236.7485485,1754911236748548425,22,22,18
1754911236.7684078,1754911236768407815,22,22,18
1754911236.788981,1754911236788981067,22,22,18
1754911236.8086448,1754911236808644653,22,22,18
1754911236.8285165,1754911236828516461,22,22,18
1754911236.8486876,1754911236848687630,22,22,18
1754911236.8685205,1754911236868520511,22,22,18
1754911236.8897765,1754911236889776431,22,22,18
1754911236.9085174,1754911236908517413,22,22,18
1754911236.9283028,1754911236928302842,22,22,18
1754911236.9483893,1754911236948389176,22,22,18
1754911236.9683075,1754911236968307604,22,22,18
1754911236.9983087,1754911236998308570,22,22,18
1754911237.009096,1754911237009095843,22,22,18
1754911237.1086843,1754911237108684194,21,20,18
1754911237.1285841,1754911237128584141,21,20,18
1754911237.1487987,1754911237148798776,21,20,18
1754911237.1686544,1754911237168654350,21,20,18
1754911237.190523,1754911237190522974,21,20,18
1754911237.2086074,1754911237208607523,21,20,18
1754911237.2284935,1754911237228493429,21,20,18
1754911237.2482862,1754911237248286316,21,20,18
1754911237.268294,1754911237268294179,21,20,18
1754911237.289954,1754911237289953928,21,20,18
1754911237.3085613,1754911237308561309,21,20,18
1754911237.3285463,1754911237328546233,21,20,18
1754911237.348567,1754911237348567017,21,20,18
1754911237.3684406,1754911237368440525,21,20,18
1754911237.3900373,1754911237390037247,21,20,18
1754911237.4084375,1754911237408437503,21,20,18
1754911237.4282968,1754911237428296907,21,20,18
1754911237.448513,1754911237448513051,21,20,18
1754911237.4687073,1754911237468707415,21,20,18
1754911237.4902809,1754911237490280799,21,20,18
1754911237.5086524,1754911237508652500,21,20,18
1754911237.5285237,1754911237528523757,21,20,18
1754911237.5484693,1754911237548469280,21,20,18
1754911237.5686648,1754911237568664841,21,20,18
1754911237.5898798,1754911237589879820,21,20,18
1754911237.608902,1754911237608901895,21,20,18
1754911237.6286275,1754911237628627442,21,20,18
1754911237.648573,1754911237648572951,21,20,18
1754911237.6684844,1754911237668484337,21,20,18
1754911237.6899483,1754911237689948324,21,20,18
1754911237.7085152,1754911237708515230,21,20,18
1754911237.728377,1754911237728377080,21,20,18
1754911237.7484856,1754911237748485610,21,20,18
1754911237.7685676,1754911237768567488,21,20,18
1754911237.790002,1754911237790002085,21,20,18
1754911237.8085527,1754911237808552829,21,20,18
1754911237.828507,1754911237828506830,21,20,18
1754911237.8484557,1754911237848455631,21,20,18
1754911237.8684266,1754911237868426572,21,20,18
1754911237.8899407,1754911237889940757,21,20,18
1754911237.9085991,1754911237908599185,21,20,18
1754911237.9288328,1754911237928832701,21,20,18
1754911237.9487057,1754911237948705659,21,20,18
1754911237.968913,1754911237968913090,21,20,18
1754911237.9988606,1754911237998860601,21,20,18
1754911238.0116227,1754911238011622785,21,20,18
1754911238.1091156,1754911238109115657,21,21,18
1754911238.1287088,1754911238128708856,21,21,18
1754911238.1486166,1754911238148616650,21,21,18
1754911238.1686435,1754911238168643406,21,21,18
1754911238.1899521,1754911238189952169,21,21,18
1754911238.2086318,1754911238208631854,21,21,18
1754911238.2285962,1754911238228596110,21,21,18
1754911238.2486846,1754911238248684728,21,21,18
1754911238.2685668,1754911238268566891,21,21,18
1754911238.2898278,1754911238289827712,21,21,18
1754911238.3086953,1754911238308695214,21,21,18
1754911238.3284233,1754911238328423367,21,21,18
1754911238.3482356,1754911238348235621,21,21,18
1754911238.3685153,1754911238368515135,21,21,18
1754911238.390199,1754911238390198994,21,21,18
1754911238.4088132,1754911238408813329,21,21,18
1754911238.4285982,1754911238428598236,21,21,18
1754911238.4485884,1754911238448588306,21,21,18
1754911238.4683273,1754911238468327223,21,21,18
1754911238.490388,1754911238490387910,21,21,18
1754911238.5084808,1754911238508480718,21,21,18
1754911238.528243,1754911238528243040,21,21,18
1754911238.548564,1754911238548563990,21,21,18
1754911238.5686927,1754911238568692699,21,21,18
1754911238.5902216,1754911238590221742,21,21,18
1754911238.6086311,1754911238608631248,21,21,18
1754911238.6287007,1754911238628700628,21,21,18
1754911238.648532,1754911238648531824,21,21,18
1754911238.668374,1754911238668373974,21,21,18
1754911238.6905162,1754911238690516212,21,21,18
1754911238.7087998,1754911238708799910,21,21,18
1754911238.7286804,1754911238728680399,21,21,18
1754911238.7485776,1754911238748577711,21,21,18
1754911238.7684898,1754911238768489720,21,21,18
1754911238.7898967,1754911238789896631,21,21,18
1754911238.8084908,1754911238808490782,21,21,18
1754911238.8282135,1754911238828213474,21,21,18
1754911238.8484704,1754911238848470443,21,21,18
1754911238.8685224,1754911238868522389,21,21,18
1754911238.8898966,1754911238889896687,21,21,18
1754911238.90876,1754911238908760150,21,21,18
1754911238.9284654,1754911238928465373,21,21,18
1754911238.9483318,1754911238948331801,21,21,18
1754911238.9682643,1754911238968264410,21,21,18
1754911238.998302,1754911238998302073,21,21,18
1754911239.010564,1754911239010564192,21,21,18
1754911239.108791,1754911239108791158,21,19,18
1754911239.1284692,1754911239128469273,21,19,18
1754911239.1487055,1754911239148705524,21,19,18
1754911239.1684587,1754911239168458773,21,19,18
1754911239.1902807,1754911239190280604,21,19,18
1754911239.2087317,1754911239208731621,21,19,18
1754911239.2288315,1754911239228831507,21,19,18
1754911239.2485545,1754911239248554473,21,19,18
1754911239.2686036,1754911239268603534,21,19,18
1754911239.290075,1754911239290075093,21,19,18
1754911239.3086724,1754911239308672531,21,19,18
1754911239.328457,1754911239328457044,21,19,18
1754911239.3485308,1754911239348530712,21,19,18
1754911239.3686407,1754911239368640663,21,19,18
1754911239.3900325,1754911239390032556,21,19,18
1754911239.4083636,1754911239408363679,21,19,18
1754911239.4282913,1754911239428291220,21,19,18
1754911239.4482431,1754911239448243154,21,19,18
1754911239.4684453,1754911239468445420,21,19,18
1754911239.4905214,1754911239490521465,21,19,18
1754911239.5085623,1754911239508562284,21,19,18
1754911239.5284026,1754911239528402544,21,19,18
1754911239.548326,1754911239548326023,21,19,18
1754911239.5686452,1754911239568645189,21,19,18
1754911239.5900903,1754911239590090394,21,19,18
1754911239.6088476,1754911239608847619,21,19,18
1754911239.6286998,1754911239628699854,21,19,18
1754911239.6486268,1754911239648626836,21,19,18
1754911239.6686258,1754911239668625728,21,19,18
1754911239.6899967,1754911239689996731,21,19,18
1754911239.7084854,1754911239708485404,21,19,18
1754911239.728418,1754911239728418022,21,19,18
1754911239.7482812,1754911239748281282,21,19,18
1754911239.7684631,1754911239768463216,21,19,18
1754911239.7900343,1754911239790034346,21,19,18
1754911239.8089051,1754911239808905215,21,19,18
1754911239.8285344,1754911239828534332,21,19,18
1754911239.8485227,1754911239848522756,21,19,18
1754911239.868653,1754911239868652951,21,19,18
1754911239.8900092,1754911239890009244,21,19,18
1754911239.9086254,1754911239908625307,21,19,18
1754911239.9284327,1754911239928432811,21,19,18
1754911239.94861,1754911239948610097,21,19,18
1754911239.9684198,1754911239968419891,21,19,18
1754911239.9992764,1754911239999276501,21,19,18
1754911240.0106492,1754911240010649210,21,19,18
1754911240.108915,1754911240108915048,21,19,18
1754911240.1287568,1754911240128756858,21,19,18
1754911240.1487472,1754911240148747262,21,19,18
1754911240.168458,1754911240168458016,21,19,18
1754911240.1900568,1754911240190056891,21,19,18
1754911240.2084022,1754911240208402144,21,19,18
1754911240.2282722,1754911240228272231,21,19,18
1754911240.2485168,1754911240248516824,21,19,18
1754911240.2684975,1754911240268497578,21,19,18
1754911240.2901785,1754911240290178570,21,19,18
1754911240.3086352,1754911240308635133,21,19,18
1754911240.328369,1754911240328368976,21,19,18
1754911240.3483713,1754911240348371244,21,19,18
1754911240.3683834,1754911240368383339,21,19,18
1754911240.3900392,1754911240390039163,21,19,18
1754911240.4086716,1754911240408671675,21,19,18
1754911240.4285505,1754911240428550469,21,19,18
1754911240.448477,1754911240448477099,21,19,18
1754911240.4684367,1754911240468436723,21,19,18
1754911240.490501,1754911240490500980,21,19,18
1754911240.5084403,1754911240508440289,21,19,18
1754911240.5282803,1754911240528280221,21,19,18
1754911240.5486271,1754911240548627234,21,19,18
1754911240.5687675,1754911240568767593,21,19,18
1754911240.5904942,1754911240590494164,21,19,18
1754911240.6090622,1754911240609062216,21,19,18
1754911240.6285255,1754911240628525378,21,19,18
1754911240.6486783,1754911240648678405,21,19,18
1754911240.668296,1754911240668296131,21,19,18
1754911240.6900098,1754911240690009827,21,19,18
1754911240.7086995,1754911240708699502,21,19,18
1754911240.7287288,1754911240728728781,21,19,18
1754911240.7487009,1754911240748700774,21,19,18
1754911240.7685285,1754911240768528482,21,19,18
1754911240.7898827,1754911240789882683,21,19,18
1754911240.8083167,1754911240808316627,21,19,18
1754911240.828395,1754911240828394914,21,19,18
1754911240.8482873,1754911240848287412,21,19,18
1754911240.8685184,1754911240868518364,21,19,18
1754911240.8901281,1754911240890128088,21,19,18
1754911240.9087415,1754911240908741593,21,19,18
1754911240.9283788,1754911240928378749,21,19,18
1754911240.948292,1754911240948291978,21,19,18
1754911240.9683847,1754911240968384630,21,19,18
1754911240.998823,1754911240998822978,21,19,18
1754911241.009459,1754911241009459109,21,19,18
1754911241.1085992,1754911241108599136,23,19,18
1754911241.1283867,1754911241128386802,23,19,18
1754911241.1486087,1754911241148608669,23,19,18
1754911241.1687646,1754911241168764632,23,19,18
1754911241.190273,1754911241190273031,23,19,18
1754911241.20859,1754911241208590001,23,19,18
1754911241.2284327,1754911241228432728,23,19,18
1754911241.2483103,1754911241248310210,23,19,18
1754911241.2683225,1754911241268322424,23,19,18
1754911241.2886815,1754911241288681537,23,19,18
1754911241.3084178,1754911241308417838,23,19,18
1754911241.3284466,1754911241328446723,23,19,18
1754911241.348552,1754911241348551982,23,19,18
1754911241.3686032,1754911241368603317,23,19,18
1754911241.3899007,1754911241389900743,23,19,18
1754911241.4084127,1754911241408412769,23,19,18
1754911241.4283192,1754911241428319327,23,19,18
1754911241.4483678,1754911241448367863,23,19,18
1754911241.468377,1754911241468377211,23,19,18
1754911241.490602,1754911241490602114,23,19,18
1754911241.5086753,1754911241508675304,23,19,18
1754911241.5285237,1754911241528523577,23,19,18
1754911241.548828,1754911241548827927,23,19,18
1754911241.568502,1754911241568501900,23,19,18
1754911241.5900996,1754911241590099596,23,19,18
1754911241.6083999,1754911241608399799,23,19,18
1754911241.6284835,1754911241628483442,23,19,18
1754911241.6485798,1754911241648579898,23,19,18
1754911241.668686,1754911241668685866,23,19,18
1754911241.6900463,1754911241690046409,23,19,18
1754911241.7084754,1754911241708475331,23,19,18
1754911241.728732,1754911241728732224,23,19,18
1754911241.7485728,1754911241748572933,23,19,18
1754911241.768602,1754911241768602000,23,19,18
1754911241.7897468,1754911241789746676,23,19,18
1754911241.8086307,1754911241808630689,23,19,18
1754911241.8284707,1754911241828470749,23,19,18
1754911241.848565,1754911241848564991,23,19,18
1754911241.8684099,1754911241868409773,23,19,18
1754911241.8901174,1754911241890117449,23,19,18
1754911241.9085329,1754911241908532907,23,19,18
1754911241.928272,1754911241928271960,23,19,18
1754911241.948629,1754911241948628858,23,19,18
1754911241.9687524,1754911241968752417,23,19,18
1754911241.999181,1754911241999181109,23,19,18
1754911242.0087833,1754911242008783412,23,19,18
1754911242.0134177,1754911242013417699,23,19,18
1754911242.109251,1754911242109251123,25,22,18
1754911242.1287243,1754911242128724378,25,22,18
1754911242.148846,1754911242148845996,25,22,18
1754911242.1686683,1754911242168668243,25,22,18
1754911242.1887925,1754911242188792459,25,22,18
1754911242.2084582,1754911242208458182,25,22,18
1754911242.2283585,1754911242228358429,25,22,18
1754911242.24823,1754911242248229914,25,22,18
1754911242.2685885,1754911242268588551,25,22,18
1754911242.2899177,1754911242289917627,25,22,18
1754911242.3086638,1754911242308663777,25,22,18
1754911242.3284674,1754911242328467443,25,22,18
1754911242.3483229,1754911242348322881,25,22,18
1754911242.3683572,1754911242368357143,25,22,18
1754911242.3887985,1754911242388798593,25,22,18
1754911242.4087858,1754911242408785910,25,22,18
1754911242.428572,1754911242428572014,25,22,18
1754911242.4486,1754911242448599990,25,22,18
1754911242.46852,1754911242468519888,25,22,18
1754911242.4887984,1754911242488798380,25,22,18
1754911242.5085032,1754911242508503279,25,22,18
1754911242.5282109,1754911242528210844,25,22,18
1754911242.548564,1754911242548563971,25,22,18
1754911242.5685196,1754911242568519495,25,22,18
1754911242.590042,1754911242590042139,25,22,18
1754911242.6086988,1754911242608698932,25,22,18
1754911242.6284459,1754911242628445765,25,22,18
1754911242.6484296,1754911242648429533,25,22,18
1754911242.6682718,1754911242668271722,25,22,18
1754911242.6887844,1754911242688784475,25,22,18
1754911242.7083838,1754911242708383797,25,22,18
1754911242.7285945,1754911242728594535,25,22,18
1754911242.7485044,1754911242748504357,25,22,18
